               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059974,            0.017769,                   0,             0.83993,             0.80283,             0.90139,             0.69779,            0.031342,           0.0065496,                   0,            0.070273,            0.003303,            0.003303
                   1,              0.0329,            0.011314,                   0,             0.96411,               0.975,             0.98879,             0.74944,             0.01936,           0.0054781,                   0,            0.040229,           0.0065926,           0.0065926
                   2,            0.026228,           0.0096181,                   0,             0.95053,              0.9675,              0.9872,             0.82829,            0.016013,           0.0044115,                   0,            0.010141,           0.0098381,           0.0098381
                   3,            0.021041,           0.0086968,                   0,             0.98395,              0.9835,              0.9936,             0.93214,            0.010171,           0.0034701,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.018393,           0.0078606,                   0,             0.98185,              0.9785,             0.99231,             0.91437,            0.011123,           0.0034341,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.016375,            0.007392,                   0,             0.98188,               0.982,             0.99336,             0.92675,           0.0098189,           0.0031708,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.015339,           0.0070347,                   0,             0.98436,             0.97536,             0.99374,             0.94336,           0.0080958,           0.0029405,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.01482,           0.0068093,                   0,             0.98148,               0.989,             0.99421,             0.96765,           0.0079696,           0.0025545,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.014025,           0.0066272,                   0,             0.97181,               0.987,              0.9936,             0.97139,           0.0069405,           0.0029055,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.013437,           0.0066222,                   0,             0.97958,               0.982,             0.99401,              0.9228,           0.0082021,           0.0024418,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.013208,            0.006309,                   0,             0.98692,             0.98078,              0.9943,             0.97286,           0.0066894,           0.0026656,                   0,            0.009406,            0.009406,            0.009406
                  11,             0.01295,           0.0062867,                   0,             0.98702,               0.989,             0.99442,             0.95791,           0.0068677,           0.0026266,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.012422,           0.0060816,                   0,             0.98207,              0.9785,             0.99393,             0.97087,           0.0063946,           0.0026492,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.012417,           0.0060451,                   0,              0.9863,              0.9865,             0.99452,             0.97683,           0.0065229,           0.0024897,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.011833,           0.0059631,                   0,             0.98688,               0.987,             0.99452,             0.98073,           0.0055621,           0.0020334,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.011969,           0.0058045,                   0,             0.98294,               0.985,             0.99441,             0.97021,           0.0061296,           0.0022891,                   0,            0.009076,            0.009076,            0.009076
                  16,             0.01173,           0.0058907,                   0,             0.97618,             0.98357,             0.99402,             0.97725,           0.0061409,           0.0023568,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.011187,           0.0056239,                   0,             0.97967,             0.98787,             0.99443,             0.98386,           0.0056197,           0.0020635,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.011128,           0.0056106,                   0,               0.989,             0.98861,             0.99464,             0.98498,           0.0050384,           0.0019907,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.011101,            0.005625,                   0,             0.98453,             0.98668,             0.99454,             0.98293,           0.0055442,           0.0019453,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.010889,           0.0055841,                   0,             0.98178,              0.9855,             0.99446,             0.98229,           0.0051445,           0.0020475,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.010844,           0.0055077,                   0,             0.99097,              0.9878,             0.99469,             0.98474,           0.0053816,            0.001931,                   0,             0.00868,             0.00868,             0.00868
                  22,             0.01063,           0.0054656,                   0,             0.98293,               0.989,             0.99462,             0.98282,           0.0050427,           0.0020698,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.010743,            0.005508,                   0,             0.98854,               0.983,             0.99455,             0.98598,           0.0046021,           0.0018354,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.010381,           0.0053556,                   0,             0.98658,               0.984,             0.99456,             0.98368,           0.0047434,           0.0019829,                   0,            0.008482,            0.008482,            0.008482
